Hora,Temperatura_C,Radiancia_W_m2,Temperatura_celula_C,Potencia_W
16,"38,6","430,00344","52,0376075","1407,08703"
17,"37,9","285,55784","46,8236825","934,5120746"
18,"35,2","82,695106","37,78422206","270,6718525"
19,"33,1",0,"33,1",0
20,"32,2",0,"32,2",0
21,"31,3",0,"31,3",0
22,"31,6",0,"31,6",0
23,"30,8",0,"30,8",0
24,"30,4",0,"30,4",0
1,"30,2",0,"30,2",0
2,"29,9",0,"29,9",0
3,"30,2",0,"30,2",0
4,"29,8",0,"29,8",0
5,30,0,30,0
6,"30,2",0,"30,2",0
7,"30,2","43,278124","31,55244138","141,6712283"
8,"30,6","117,612052","34,27537663","384,9844933"
9,32,"343,61386","42,73793313","1124,590095"
10,"35,6","730,5614","58,43004375","2390,311492"
11,"37,8","888,896","65,578","2907,97998"
12,"38,8","990,2857","69,74642813","3239,42209"
13,"38,2","1015,84146","69,94504563","3323,007891"
14,"38,2","427,7812","51,5681625","1399,827393"
15,"38,3","481,9483","53,36088438","1577,026073"
16,"36,5","211,751694","43,11724044","693,0226576"
17,"36,2","172,306934","41,58459169","563,9434806"
18,34,"48,500388","35,51563713","158,7547332"
19,"31,3",0,"31,3",0
20,"30,9",0,"30,9",0
21,"30,9",0,"30,9",0
22,"29,6",0,"29,6",0
23,"27,7",0,"27,7",0
24,"28,9",0,"28,9",0
1,"30,1",0,"30,1",0
2,27,0,27,0
3,"27,7",0,"27,7",0
4,"27,8",0,"27,8",0
5,"29,3",0,"29,3",0
6,"28,3",0,"28,3",0
7,"27,8","22,7612932","28,51129041","74,51342689"
8,"28,4","95,889656","31,39655175","313,8963331"
9,"30,5","346,39166","41,32473938","1133,710935"
10,"33,3","642,22736","53,369605","2101,48916"
11,"34,2","722,228","56,769625","2363,118022"
12,"35,2","621,67164","54,62723875","2034,179736"
13,"35,9","771,95062","60,02345688","2525,657879"
14,"35,9","673,06094","56,93315438","2202,237569"
15,"35,1","236,085222","42,47766319","772,6707461"
16,"34,6","73,33392","36,891685","240,0354253"
17,"34,2","92,08407","37,07762719","301,4070849"
18,"32,8","32,91693","33,82865406","107,7492644"
19,"31,1",0,"31,1",0
20,"31,7",0,"31,7",0
21,31,0,31,0
22,"30,2",0,"30,2",0
23,"29,5",0,"29,5",0
24,"28,9",0,"28,9",0
1,28,0,28,0
2,"27,4",0,"27,4",0
3,27,0,27,0
4,"26,3",0,"26,3",0
5,"25,8",0,"25,8",0
6,"25,4",0,"25,4",0
7,26,"30,472466","26,95226456","99,76028899"
8,"26,1","77,556176","28,5236305","253,8948505"
9,"25,5","62,750502","27,46095319","205,429697"
10,"24,4","12,9334368","24,8041699","42,34296407"
11,"22,7","11,9695402","23,07404813","39,18850013"
12,"22,1","20,2862734","22,73394604","66,4180581"
13,22,"39,778096","23,2430655","130,2338296"
14,"22,2","67,36165","24,30505156","220,5383022"
15,"22,5","63,167172","24,47397413","206,8051695"
16,"22,4","39,30587","23,62830844","128,6868429"
17,"22,6","26,472434","23,42726356","86,67068285"
18,"22,6","15,3862342","23,08081982","50,37481437"
19,"22,5",0,"22,5",0
20,"22,6",0,"22,6",0
21,"22,5",0,"22,5",0
22,"22,2",0,"22,2",0
23,22,0,22,0
24,"22,1",0,"22,1",0
1,"22,3",0,"22,3",0
2,"22,2",0,"22,2",0
3,"22,5",0,"22,5",0
4,"22,4",0,"22,4",0
5,22,0,22,0
6,"22,3",0,"22,3",0
7,"22,9","38,500308","24,10313463","126,0483404"
8,"25,1","141,640022","29,52625069","463,6768953"
9,26,"209,696122","32,55300381","686,4289833"
10,"27,1","251,168676","34,94902113","822,1508063"
11,27,"206,196094","33,44362794","674,9607365"
12,"27,5","222,251778","34,44536806","727,5038423"
13,"30,4","709,17234","52,56163563","2320,580385"
14,30,"712,78348","52,27448375","2332,409257"
15,"29,8","493,89284","45,23415125","1616,353326"
16,"30,1","524,72642","46,49770063","1717,221723"
17,"29,5","252,557576","37,39242425","826,6598176"
18,"28,9","73,000584","31,18126825","238,9695366"
19,28,0,28,0
20,"26,9",0,"26,9",0
21,"27,4",0,"27,4",0
22,26,0,26,0
23,"25,5",0,"25,5",0
24,25,0,25,0
1,"24,6",0,"24,6",0
2,"24,3",0,"24,3",0
3,"23,9",0,"23,9",0
4,"23,7",0,"23,7",0
5,"23,9",0,"23,9",0
6,"23,8",0,"23,8",0
7,"24,6","38,19475","25,79358594","125,0440565"
8,"25,5","74,528374","27,82901169","243,9858937"
9,"27,6","278,89112","36,3153475","912,8717057"
10,28,"335,55824","38,486195","1098,311595"
11,"28,6","311,66916","38,33966125","1020,123296"
12,"30,2","646,94962","50,41717563","2117,056668"
13,"31,9","889,72934","59,70404188","2911,021912"
14,"30,9","763,33944","54,7543575","2497,726897"
15,"32,2","603,33816","51,0543175","1974,320739"
16,"32,3","549,72662","49,47895688","1798,938475"
17,"31,4","261,029866","39,55718331","854,3567928"
18,"27,9","39,278092","29,12744038","128,5828505"
19,"24,8",0,"24,8",0
20,"23,7",0,"23,7",0
21,"23,3",0,"23,3",0
22,"23,2",0,"23,2",0
23,"23,2",0,"23,2",0
24,"23,3",0,"23,3",0
1,"23,2",0,"23,2",0
2,"23,2",0,"23,2",0
3,"23,1",0,"23,1",0
4,"23,2",0,"23,2",0
5,"23,1",0,"23,1",0
6,"23,1",0,"23,1",0
7,"23,5","58,167132","25,31772288","190,4324025"
8,"24,4","128,88992","28,42781","421,9463429"
9,25,"197,196022","31,16237569","645,5271431"
10,"26,2","281,11336","34,9847925","920,1681782"
11,"26,5","277,50222","35,17194438","908,3446988"
12,"26,9","214,362826","33,59883831","701,6916455"
13,"28,6","443,0591","42,44559688","1450,065384"
14,30,"897,2294","58,03841875","2935,650929"
15,32,"732,78364","54,89948875","2397,738683"
16,"27,6","227,418486","34,70682769","744,4126007"
17,"26,7","95,167428","29,67398213","311,5420108"
18,"26,7","63,000504","28,66876575","206,2435454"
19,"26,9",0,"26,9",0
20,"26,4",0,"26,4",0
21,"23,6",0,"23,6",0
22,"23,4",0,"23,4",0
23,"23,3",0,"23,3",0
24,"22,5",0,"22,5",0
1,"22,5",0,"22,5",0
2,"22,8",0,"22,8",0
3,"22,7",0,"22,7",0
4,"22,5",0,"22,5",0
5,"22,5",0,"22,5",0
6,"22,2",0,"22,2",0
7,"23,3","52,167084","24,93022138","170,7901666"
8,"26,3","147,806738","30,91896056","483,8520013"
9,"27,9","516,94858","44,05464313","1691,844223"
10,"30,2","759,45052","53,93282875","2485,03963"
11,"31,1","892,22936","58,9821675","2919,240399"
12,"32,4","953,61874","62,20058563","3119,911829"
13,32,"465,83706","46,55740813","1524,498494"
14,"33,9","876,11812","61,27869125","2866,405302"
15,"32,8","468,0593","47,42685313","1531,746414"
16,32,"163,417974","37,10681169","534,8950002"
17,"31,8","84,86179","34,45193094","277,7807735"
18,"30,8","28,694674","31,69670856","93,93195715"
19,"29,5",0,"29,5",0
20,29,0,29,0
21,"28,2",0,"28,2",0
22,"27,9",0,"27,9",0
23,"27,9",0,"27,9",0
24,"26,7",0,"26,7",0
1,"26,1",0,"26,1",0
2,26,0,26,0
3,"25,2",0,"25,2",0
4,"25,7",0,"25,7",0
5,"24,9",0,"24,9",0
6,"25,6",0,"25,6",0
7,"25,9","33,000264","26,93125825","108,035797"
8,"26,4","89,16738","29,18648063","291,9027585"
9,"26,7","134,778856","30,91183925","441,2047019"
10,"27,3","217,140626","34,08564456","710,7780636"
11,"27,4","177,445864","32,94518325","580,8552936"
12,"30,5","319,16922","40,47403813","1044,630567"
13,"31,4","225,890696","38,45908425","739,3604601"
14,34,"848,89568","60,52799","2777,379841"
15,"35,4","760,28386","59,15887063","2487,526434"
16,"34,4","530,28202","50,97131313","1735,259699"
17,"31,7","95,250762","34,67658631","311,7860306"
18,"30,6","33,972494","31,66164044","111,2089622"
19,"22,1",0,"22,1",0
20,"22,8",0,"22,8",0
21,"22,6",0,"22,6",0
22,"23,1",0,"23,1",0
23,"22,8",0,"22,8",0
24,23,0,23,0
1,"22,4",0,"22,4",0
2,"22,8",0,"22,8",0
3,"22,1",0,"22,1",0
4,22,0,22,0
5,22,0,22,0
6,"21,9",0,"21,9",0
7,23,"42,167004","24,31771888","138,0523977"
8,"24,7","110,889776","28,1653055","363,021112"
9,"27,2","475,55936","42,06123","1556,444858"
10,"27,2","511,1152","43,17235","1672,780261"
11,"27,9","520,8375","44,17617188","1704,567868"
12,"30,1","933,61858","59,27558063","3054,64316"
13,29,"349,16946","39,91154563","1142,83225"
14,"31,7","671,39426","52,68107063","2196,956688"
15,"31,2","497,2262","46,73831875","1627,217169"
16,"25,8","278,05778","34,48930563","910,1746727"
17,"25,6","52,694866","27,24671456","172,5107019"
18,"24,1","21,4973942","24,77179357","70,38066896"
19,"24,1",0,"24,1",0
20,"24,3",0,"24,3",0
21,"23,3",0,"23,3",0
22,"23,7",0,"23,7",0
23,"23,5",0,"23,5",0
24,"23,4",0,"23,4",0
1,"22,2",0,"22,2",0
2,"22,1",0,"22,1",0
3,"21,9",0,"21,9",0
4,"21,9",0,"21,9",0
5,"22,4",0,"22,4",0
6,"22,6",0,"22,6",0
7,"23,6","46,889264","25,0652895","153,5106937"
8,"25,2","123,362098","29,05506556","403,845263"
9,"27,5","396,66984","39,8959325","1298,30145"
10,"29,5","742,50594","52,70331063","2429,649489"
11,"30,8","888,06266","58,55195813","2905,630662"
12,"32,1","960,00768","62,10024","3140,820057"
13,"33,4","970,00776","63,7127425","3173,442448"
14,"33,9","659,7275","54,51648438","2158,707216"
15,"34,3","777,50622","58,59706938","2543,90161"
16,"27,7","182,334792","33,39796225","596,8538337"
17,"26,6","53,75043","28,27970094","175,9630183"
18,"27,3","16,8556904","27,82674033","55,18100875"
19,"26,5",0,"26,5",0
20,"26,4",0,"26,4",0
21,"26,6",0,"26,6",0
22,"26,1",0,"26,1",0
23,"26,1",0,"26,1",0
24,"25,4",0,"25,4",0
1,"25,2",0,"25,2",0
2,"24,4",0,"24,4",0
3,"24,7",0,"24,7",0
4,"23,9",0,"23,9",0
5,"23,5",0,"23,5",0
6,"23,4",0,"23,4",0
7,"25,3","35,305838","26,40330744","115,5848784"
8,"29,2","134,945524","33,41704763","441,7298755"
9,"30,2","544,4488","47,214025","1781,741701"
10,"32,6","745,8393","55,90747813","2440,412646"
11,"33,7","866,6736","60,78355","2835,531485"
12,"33,5","858,06242","60,31445063","2807,382249"
13,"34,1","709,45012","56,27031625","2321,330409"
14,"34,7","665,83866","55,50745813","2178,663804"
15,"36,6","573,06014","54,50812938","1875,121547"
16,"35,5","439,17018","49,22406813","1437,157711"
17,"35,4","175,97363","40,89917594","575,9514984"
18,"31,4","84,250674","34,03283356","275,7825212"
19,30,0,30,0
20,29,0,29,0
21,28,0,28,0
22,"27,4",0,"27,4",0
23,"26,3",0,"26,3",0
24,"25,9",0,"25,9",0
1,"24,8",0,"24,8",0
2,"24,1",0,"24,1",0
3,"23,3",0,"23,3",0
4,"23,1",0,"23,1",0
5,"23,3",0,"23,3",0
6,"23,7",0,"23,7",0
7,"25,6","34,111384","26,66598075","111,6739125"
8,"27,7","141,445576","32,12017425","463,018188"
9,"29,8","523,05974","46,14561688","1711,778464"
10,"31,3","720,8391","53,82622188","2358,701731"
11,"32,5","796,95082","57,40471313","2607,579274"
12,"32,8","612,78268","51,94945875","2005,193177"
13,"35,6","932,78524","64,74953875","3051,608172"
14,"34,1","770,56172","58,18005375","2521,199499"
15,"32,6","164,334648","37,73545775","537,8891905"
16,"34,1","264,668784","42,3708995","866,2220704"
17,"32,6","167,890232","37,84656975","549,5259637"
18,"31,3","53,139314","32,96060356","173,9473795"
19,"30,6",0,"30,6",0
20,"29,3",0,"29,3",0
21,"28,1",0,"28,1",0
22,"27,9",0,"27,9",0
23,"27,8",0,"27,8",0
24,"27,3",0,"27,3",0
1,"26,6",0,"26,6",0
2,"25,9",0,"25,9",0
3,25,0,25,0
4,"24,7",0,"24,7",0
5,"24,8",0,"24,8",0
6,"25,5",0,"25,5",0
7,27,"52,694866","28,64671456","172,5062455"
8,29,"181,973678","34,68667744","595,6575987"
9,"28,2","232,335192","35,46047475","760,4959566"
10,"26,1","80,333976","28,61043675","262,9880844"
11,"28,2","397,2254","40,61329375","1300,102586"
12,"29,9","585,00468","48,18139625","1914,429092"
13,"28,4","281,9467","37,21083438","922,8580366"
14,27,"278,61334","35,70666688","911,9727151"
15,"26,3","100,111912","29,42849725","327,7298578"
16,"24,9","118,0565","28,58926563","386,4798739"
17,"26,1","177,751422","31,65473194","581,8693702"
18,"24,9","77,611732","27,32536663","254,0823414"
19,"24,1",0,"24,1",0
20,"23,5",0,"23,5",0
21,"23,5",0,"23,5",0
22,"22,9",0,"22,9",0
23,"22,2",0,"22,2",0
24,"21,6",0,"21,6",0
1,"21,9",0,"21,9",0
2,"21,6",0,"21,6",0
3,"20,7",0,"20,7",0
4,"20,7",0,"20,7",0
5,"20,4",0,"20,4",0
6,"20,4",0,"20,4",0
7,"22,1","39,111424","23,322232","128,0509527"
8,"25,4","203,61274","31,76289813","666,5250774"
9,"26,8","545,55992","43,8487475","1785,488814"
10,"27,8","694,72778","49,51024313","2273,442409"
11,"29,9","882,50706","57,47834563","2887,510663"
12,"31,1","940,2853","60,48391563","3076,386915"
13,"32,4","913,8962","60,95925625","2990,021898"
14,"33,6","878,34036","61,04813625","2873,688062"
15,"33,5","750,83934","56,96372938","2456,725047"
16,"33,7","545,55992","50,7487475","1785,26142"
17,"33,7","321,39146","43,74348313","1051,840413"
18,"32,3","105,250842","35,58908881","344,5136705"
19,"30,4",0,"30,4",0
20,"29,5",0,"29,5",0
21,29,0,29,0
22,"27,4",0,"27,4",0
23,"27,2",0,"27,2",0
24,"26,4",0,"26,4",0
1,"26,2",0,"26,2",0
2,"25,3",0,"25,3",0
3,"24,5",0,"24,5",0
4,"24,4",0,"24,4",0
5,"24,9",0,"24,9",0
6,"24,9",0,"24,9",0
7,"26,7","63,306062","28,67831444","207,2438083"
8,"29,6","198,946036","35,81706363","651,1999281"
9,"30,7","535,55984","47,436245","1752,644852"
10,"31,9","721,67244","54,45226375","2361,401262"
11,"33,3","866,6736","60,38355","2835,552426"
12,"34,7","811,67316","60,06478625","2655,619536"
13,"35,3","948,34092","64,93565375","3102,487938"
14,"34,5","619,17162","53,84911313","2026,028492"
15,"31,5","392,22536","43,7570425","1283,663173"
16,"32,4","164,86243","37,55195094","539,6185188"
17,"31,9","176,306966","37,40959269","577,0796525"
18,"30,9","57,722684","32,70383388","188,9515773"
